Dataset,Model,Run,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Preprocessed (All Features),Logistic Regression,1,0.7896457765667575,0.7554347826086957,0.28958333333333336,0.4186746987951807,0.7607972017220173
Preprocessed (All Features),Logistic Regression,2,0.802724795640327,0.8010204081632653,0.32708333333333334,0.46449704142011833,0.7730827183271833
Preprocessed (All Features),Logistic Regression,3,0.8021798365122615,0.7746478873239436,0.34375,0.47619047619047616,0.7935724169741698
Preprocessed (All Features),Logistic Regression,4,0.7940054495912806,0.7405660377358491,0.32708333333333334,0.45375722543352603,0.7682579950799509
Preprocessed (All Features),Logistic Regression,5,0.797275204359673,0.75,0.3375,0.46551724137931033,0.7785009225092252
Preprocessed (All Features),Logistic Regression,6,0.7934604904632152,0.7416267942583732,0.3229166666666667,0.44992743105950656,0.7855296740467403
Preprocessed (All Features),Logistic Regression,7,0.8005449591280654,0.7908163265306123,0.3229166666666667,0.45857988165680474,0.7745233702337023
Preprocessed (All Features),Logistic Regression,8,0.7918256130790191,0.7333333333333333,0.32083333333333336,0.4463768115942029,0.7788637761377614
Preprocessed (All Features),Logistic Regression,9,0.7929155313351499,0.7336448598130841,0.32708333333333334,0.45244956772334294,0.7756895756457565
Preprocessed (All Features),Logistic Regression,10,0.7967302452316076,0.7511737089201878,0.3333333333333333,0.46176046176046176,0.7734763222632226
Preprocessed (All Features),Logistic Regression,11,0.7956403269754768,0.774869109947644,0.30833333333333335,0.44113263785394935,0.7631211562115621
Preprocessed (All Features),Logistic Regression,12,0.794550408719346,0.7877094972067039,0.29375,0.4279210925644917,0.771264606396064
Preprocessed (All Features),Logistic Regression,13,0.7967302452316076,0.786096256684492,0.30625,0.4407796101949025,0.7743019680196801
Preprocessed (All Features),Logistic Regression,14,0.8103542234332425,0.7972972972972973,0.36875,0.5042735042735043,0.7703659286592865
Preprocessed (All Features),Logistic Regression,15,0.7825613079019074,0.6883720930232559,0.30833333333333335,0.42589928057553955,0.7710993234932351
Preprocessed (All Features),Logistic Regression,16,0.797275204359673,0.77,0.32083333333333336,0.45294117647058824,0.7773877613776139
Preprocessed (All Features),Logistic Regression,17,0.797275204359673,0.75,0.3375,0.46551724137931033,0.7746117773677736
Preprocessed (All Features),Logistic Regression,18,0.802724795640327,0.7706422018348624,0.35,0.4813753581661891,0.7757818265682657
Preprocessed (All Features),Logistic Regression,19,0.8049046321525886,0.7563025210084033,0.375,0.5013927576601671,0.7662999692496925
Preprocessed (All Features),Logistic Regression,20,0.7967302452316076,0.783068783068783,0.30833333333333335,0.44245142002989535,0.7643411746617468
Preprocessed (All Features),Logistic Regression,21,0.7950953678474114,0.7708333333333334,0.30833333333333335,0.44047619047619047,0.7729305043050432
Preprocessed (All Features),Logistic Regression,22,0.8021798365122615,0.7853658536585366,0.33541666666666664,0.47007299270072994,0.7843427121771218
Preprocessed (All Features),Logistic Regression,23,0.8010899182561307,0.7405857740585774,0.36875,0.49235048678720444,0.7616436039360394
Preprocessed (All Features),Logistic Regression,24,0.805449591280654,0.7971014492753623,0.34375,0.48034934497816595,0.7907410824108241
Preprocessed (All Features),Logistic Regression,25,0.802724795640327,0.7757009345794392,0.3458333333333333,0.4783861671469741,0.7902160209102091
Preprocessed (All Features),Logistic Regression,26,0.7983651226158038,0.7669902912621359,0.32916666666666666,0.4606413994169096,0.7766835793357934
Preprocessed (All Features),Logistic Regression,27,0.7978201634877384,0.8011049723756906,0.3020833333333333,0.43872919818456885,0.7661016297662977
Preprocessed (All Features),Logistic Regression,28,0.8032697547683924,0.7874396135265701,0.33958333333333335,0.4745269286754003,0.7556695879458795
Preprocessed (All Features),Logistic Regression,29,0.7967302452316076,0.7801047120418848,0.3104166666666667,0.44411326378539495,0.7541666666666667
Preprocessed (All Features),Logistic Regression,30,0.802724795640327,0.8105263157894737,0.32083333333333336,0.4597014925373134,0.7743265682656828
Preprocessed (All Features),Logistic Regression,31,0.7967302452316076,0.7715736040609137,0.31666666666666665,0.44903988183161003,0.7816697416974169
Preprocessed (All Features),Logistic Regression,32,0.8038147138964578,0.8092783505154639,0.32708333333333334,0.4658753709198813,0.7677275522755227
Preprocessed (All Features),Logistic Regression,33,0.7929155313351499,0.7403846153846154,0.32083333333333336,0.4476744186046512,0.7661323800738008
Preprocessed (All Features),Logistic Regression,34,0.8010899182561307,0.7860696517412935,0.32916666666666666,0.46402349486049926,0.7662546125461255
Preprocessed (All Features),Logistic Regression,35,0.8005449591280654,0.7740384615384616,0.33541666666666664,0.4680232558139535,0.7643035055350553
Preprocessed (All Features),Logistic Regression,36,0.7967302452316076,0.7465437788018433,0.3375,0.4648493543758967,0.7723393296432963
Preprocessed (All Features),Logistic Regression,37,0.8,0.7579908675799086,0.3458333333333333,0.474964234620887,0.7804166666666666
Preprocessed (All Features),Logistic Regression,38,0.7934604904632152,0.7439613526570048,0.32083333333333336,0.4483260553129549,0.7752644526445265
Preprocessed (All Features),Logistic Regression,39,0.8065395095367848,0.7990430622009569,0.34791666666666665,0.4847605224963715,0.7772393911439115
Preprocessed (All Features),Logistic Regression,40,0.7956403269754768,0.7511961722488039,0.32708333333333334,0.45573294629898403,0.7772709102091022
Preprocessed (All Features),Logistic Regression,41,0.802724795640327,0.7920792079207921,0.3333333333333333,0.46920821114369504,0.7814552583025831
Preprocessed (All Features),Logistic Regression,42,0.8005449591280654,0.7878787878787878,0.325,0.46017699115044247,0.7836708179581795
Preprocessed (All Features),Logistic Regression,43,0.805449591280654,0.786046511627907,0.35208333333333336,0.48633093525179855,0.7816067035670357
Preprocessed (All Features),Logistic Regression,44,0.7956403269754768,0.7638190954773869,0.31666666666666665,0.4477172312223859,0.7661077798277983
Preprocessed (All Features),Logistic Regression,45,0.7841961852861036,0.6962616822429907,0.3104166666666667,0.42939481268011526,0.7556165436654366
Preprocessed (All Features),Logistic Regression,46,0.8016348773841961,0.7761904761904762,0.33958333333333335,0.47246376811594204,0.7805158364083641
Preprocessed (All Features),Logistic Regression,47,0.8021798365122615,0.7799043062200957,0.33958333333333335,0.4731494920174166,0.7901476014760147
Preprocessed (All Features),Logistic Regression,48,0.7967302452316076,0.7635467980295566,0.3229166666666667,0.4538799414348463,0.7672878228782287
Preprocessed (All Features),Logistic Regression,49,0.7912806539509537,0.6979591836734694,0.35625,0.47172413793103446,0.7578766912669127
Preprocessed (All Features),Logistic Regression,50,0.7983651226158038,0.7350427350427351,0.35833333333333334,0.48179271708683474,0.759849323493235
Preprocessed (All Features),Logistic Regression,51,0.7912806539509537,0.7117903930131004,0.33958333333333335,0.459802538787024,0.7643234932349323
Preprocessed (All Features),Logistic Regression,52,0.7929155313351499,0.7403846153846154,0.32083333333333336,0.4476744186046512,0.7681457564575646
Preprocessed (All Features),Logistic Regression,53,0.8005449591280654,0.7688679245283019,0.33958333333333335,0.47109826589595377,0.7767942804428043
Preprocessed (All Features),Logistic Regression,54,0.7858310626702997,0.7185929648241206,0.29791666666666666,0.4212076583210604,0.7696794280442805
Preprocessed (All Features),Logistic Regression,55,0.8059945504087194,0.7897196261682243,0.35208333333333336,0.48703170028818443,0.7947832103321033
Preprocessed (All Features),Logistic Regression,56,0.7923705722070845,0.7391304347826086,0.31875,0.44541484716157204,0.7678420971709717
Preprocessed (All Features),Logistic Regression,57,0.8021798365122615,0.7695852534562212,0.34791666666666665,0.47919655667144906,0.7916582103321033
Preprocessed (All Features),Logistic Regression,58,0.7950953678474114,0.7626262626262627,0.3145833333333333,0.44542772861356933,0.7713599323493234
Preprocessed (All Features),Logistic Regression,59,0.8005449591280654,0.7908163265306123,0.3229166666666667,0.45857988165680474,0.7754989237392375
Preprocessed (All Features),Logistic Regression,60,0.7918256130790191,0.7149122807017544,0.33958333333333335,0.4604519774011299,0.7617512300123002
Preprocessed (All Features),Logistic Regression,61,0.8021798365122615,0.8,0.325,0.4622222222222222,0.7667612238622386
Preprocessed (All Features),Logistic Regression,62,0.7994550408719346,0.7666666666666667,0.33541666666666664,0.4666666666666667,0.7786431426814268
Preprocessed (All Features),Logistic Regression,63,0.7940054495912806,0.7276785714285714,0.33958333333333335,0.4630681818181818,0.7658410209102091
Preprocessed (All Features),Logistic Regression,64,0.8021798365122615,0.7695852534562212,0.34791666666666665,0.47919655667144906,0.7796386838868389
Preprocessed (All Features),Logistic Regression,65,0.7961852861035422,0.712,0.37083333333333335,0.4876712328767123,0.7707095633456336
Preprocessed (All Features),Logistic Regression,66,0.8021798365122615,0.7671232876712328,0.35,0.48068669527896996,0.7924300430504305
Preprocessed (All Features),Logistic Regression,67,0.8130790190735695,0.7914893617021277,0.3875,0.5202797202797202,0.7819526445264453
Preprocessed (All Features),Logistic Regression,68,0.7901907356948229,0.7461139896373057,0.3,0.4279346210995542,0.7584263530135301
Preprocessed (All Features),Logistic Regression,69,0.8092643051771117,0.7801724137931034,0.3770833333333333,0.5084269662921348,0.7945525830258303
Preprocessed (All Features),Logistic Regression,70,0.8038147138964578,0.803030303030303,0.33125,0.4690265486725664,0.7833710024600246
Preprocessed (All Features),Logistic Regression,71,0.7967302452316076,0.7399103139013453,0.34375,0.4694167852062589,0.7813560885608857
Preprocessed (All Features),Logistic Regression,72,0.8010899182561307,0.7510917030567685,0.35833333333333334,0.48519040902679833,0.7764913899138991
Preprocessed (All Features),Logistic Regression,73,0.8016348773841961,0.7636363636363637,0.35,0.48,0.7611162361623617
Preprocessed (All Features),Logistic Regression,74,0.8130790190735695,0.8477157360406091,0.34791666666666665,0.4933530280649926,0.7899154366543666
Preprocessed (All Features),Logistic Regression,75,0.7940054495912806,0.7297297297297297,0.3375,0.46153846153846156,0.7672578413284132
Preprocessed (All Features),Logistic Regression,76,0.7940054495912806,0.7524752475247525,0.31666666666666665,0.44574780058651026,0.7769787822878229
Preprocessed (All Features),Logistic Regression,77,0.7940054495912806,0.7428571428571429,0.325,0.45217391304347826,0.7535931734317343
Preprocessed (All Features),Logistic Regression,78,0.8065395095367848,0.8019323671497585,0.3458333333333333,0.48326055312954874,0.7779681734317343
Preprocessed (All Features),Logistic Regression,79,0.7940054495912806,0.7684210526315789,0.30416666666666664,0.43582089552238806,0.7658602398523985
Preprocessed (All Features),Logistic Regression,80,0.8065395095367848,0.7853881278538812,0.35833333333333334,0.49213161659513593,0.7782518450184502
Preprocessed (All Features),Logistic Regression,81,0.8010899182561307,0.7625570776255708,0.34791666666666665,0.47782546494992845,0.7862384686346864
Preprocessed (All Features),Logistic Regression,82,0.7967302452316076,0.7442922374429224,0.33958333333333335,0.4663805436337625,0.7816966482164822
Preprocessed (All Features),Logistic Regression,83,0.8016348773841961,0.7959183673469388,0.325,0.46153846153846156,0.7808863776137762
Preprocessed (All Features),Logistic Regression,84,0.8059945504087194,0.7818181818181819,0.35833333333333334,0.49142857142857144,0.7842289360393604
Preprocessed (All Features),Logistic Regression,85,0.7961852861035422,0.7731958762886598,0.3125,0.44510385756676557,0.7610770295202953
Preprocessed (All Features),Logistic Regression,86,0.794550408719346,0.7614213197969543,0.3125,0.4431314623338257,0.7670595018450185
Preprocessed (All Features),Logistic Regression,87,0.7967302452316076,0.7511737089201878,0.3333333333333333,0.46176046176046176,0.7769157441574416
Preprocessed (All Features),Logistic Regression,88,0.7940054495912806,0.7405660377358491,0.32708333333333334,0.45375722543352603,0.7622686039360392
Preprocessed (All Features),Logistic Regression,89,0.7940054495912806,0.7339449541284404,0.3333333333333333,0.4584527220630373,0.7833025830258303
Preprocessed (All Features),Logistic Regression,90,0.8032697547683924,0.7819905213270142,0.34375,0.47756874095513746,0.7648124231242313
Preprocessed (All Features),Logistic Regression,91,0.8065395095367848,0.7802690582959642,0.3625,0.4950213371266003,0.7873839175891759
Preprocessed (All Features),Logistic Regression,92,0.8005449591280654,0.796875,0.31875,0.45535714285714285,0.7983625461254612
Preprocessed (All Features),Logistic Regression,93,0.802724795640327,0.7706422018348624,0.35,0.4813753581661891,0.767089483394834
Preprocessed (All Features),Logistic Regression,94,0.8,0.7603686635944701,0.34375,0.4734576757532281,0.7712653751537516
Preprocessed (All Features),Logistic Regression,95,0.7912806539509537,0.7276995305164319,0.3229166666666667,0.44733044733044736,0.768430196801968
Preprocessed (All Features),Logistic Regression,96,0.802724795640327,0.7706422018348624,0.35,0.4813753581661891,0.7877498462484624
Preprocessed (All Features),Logistic Regression,97,0.797275204359673,0.7571428571428571,0.33125,0.4608695652173913,0.7699715559655597
Preprocessed (All Features),Logistic Regression,98,0.8125340599455041,0.7982456140350878,0.37916666666666665,0.5141242937853108,0.8014752460024599
Preprocessed (All Features),Logistic Regression,99,0.7841961852861036,0.7058823529411765,0.3,0.42105263157894735,0.756829643296433
Preprocessed (All Features),Logistic Regression,100,0.7983651226158038,0.7391304347826086,0.3541666666666667,0.4788732394366197,0.7758148831488314
Preprocessed (All Features),Random Forest,1,0.9362397820163487,0.9211136890951276,0.8270833333333333,0.8715697036223929,0.9775845633456334
Preprocessed (All Features),Random Forest,2,0.9346049046321526,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.9718519372693727
Preprocessed (All Features),Random Forest,3,0.9318801089918256,0.9006772009029346,0.83125,0.8645720476706392,0.968430196801968
Preprocessed (All Features),Random Forest,4,0.9373297002724795,0.899343544857768,0.85625,0.8772678762006404,0.9710770295202954
Preprocessed (All Features),Random Forest,5,0.9400544959128065,0.9039301310043668,0.8625,0.8827292110874201,0.9717343173431735
Preprocessed (All Features),Random Forest,6,0.9400544959128065,0.9111111111111111,0.8541666666666666,0.8817204301075269,0.9600753382533824
