Dataset,Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Preprocessed (All Features),Logistic Regression,0.8005449591280654,0.7878787878787878,0.325,0.46017699115044247,0.7836708179581795
Preprocessed (All Features),Random Forest,0.9389645776566757,0.8898305084745762,0.875,0.8823529411764706,0.9710347478474783
Preprocessed (All Features),XGBoost,0.9427792915531336,0.8947368421052632,0.8854166666666666,0.8900523560209425,0.9809578720787209
Preprocessed (All Features),SVM,0.8059945504087194,0.8974358974358975,0.2916666666666667,0.44025157232704404,0.8427498462484624
Preprocessed (All Features),CatBoost,0.9498637602179837,0.9092827004219409,0.8979166666666667,0.9035639412997903,0.9837000307503074
Preprocessed (Selected Features),Logistic Regression,0.7989100817438692,0.8066298342541437,0.30416666666666664,0.44175491679273826,0.7783779212792128
Preprocessed (Selected Features),Random Forest,0.9346049046321526,0.871900826446281,0.8791666666666667,0.8755186721991701,0.9691259225092251
Preprocessed (Selected Features),XGBoost,0.9356948228882834,0.8786610878661087,0.875,0.8768267223382046,0.973130381303813
Preprocessed (Selected Features),SVM,0.8212534059945504,0.8486238532110092,0.3854166666666667,0.5300859598853869,0.8560147601476015
Preprocessed (Selected Features),CatBoost,0.9422343324250682,0.8961864406779662,0.88125,0.8886554621848739,0.9790367466174662
SMOTE Balanced (All Features),Logistic Regression,0.6928440366972477,0.7251264755480608,0.6272793581327498,0.6726632772780602,0.7624675839584902
SMOTE Balanced (All Features),Random Forest,0.9188990825688074,0.9203216374269005,0.9183078045222466,0.9193136181087989,0.9731047860999154
SMOTE Balanced (All Features),XGBoost,0.9280733944954128,0.923576063446287,0.9343544857768052,0.9289340101522843,0.9783691943367949
SMOTE Balanced (All Features),SVM,0.7280733944954129,0.7889908256880734,0.6272793581327498,0.6989028850060951,0.8049246525679108
SMOTE Balanced (All Features),CatBoost,0.9284403669724771,0.9381520119225037,0.9183078045222466,0.928123848138592,0.9786582048273641
SMOTE Balanced (Selected Features),Logistic Regression,0.6928440366972477,0.7251264755480608,0.6272793581327498,0.6726632772780602,0.7624675839584902
SMOTE Balanced (Selected Features),Random Forest,0.9188990825688074,0.9203216374269005,0.9183078045222466,0.9193136181087989,0.9731047860999154
SMOTE Balanced (Selected Features),XGBoost,0.9280733944954128,0.923576063446287,0.9343544857768052,0.9289340101522843,0.9783691943367949
SMOTE Balanced (Selected Features),SVM,0.7280733944954129,0.7889908256880734,0.6272793581327498,0.6989028850060951,0.8049246525679108
SMOTE Balanced (Selected Features),CatBoost,0.9284403669724771,0.9381520119225037,0.9183078045222466,0.928123848138592,0.9786582048273641
